0.40858,0.79506,0;2.61551,2.73265,0;2.70751,8.82931,0;2.75174,2.21809,1;3.07924,6.53255,0;4.39453,2.67641,0;6.72198,0.083918,0;7.75432,0.626539,0;9.60728,3.36565,0;9.6166,9.98985,0;|
0.419064,0.781961,0;2.626,2.71955,0;2.71799,8.81621,0;2.76222,2.20499,1;3.08972,6.51945,0;4.40501,2.66331,0;6.73246,0.0708187,0;7.7648,0.61344,0;9.61777,3.35255,0;9.62708,9.97675,0;|
0.429548,0.768862,0;2.63648,2.70645,0;2.72847,8.80311,0;2.7727,2.19189,1;3.10021,6.50635,0;4.4155,2.65021,0;6.74295,0.0577194,0;7.77529,0.60034,0;9.62825,3.33946,0;9.63757,9.96365,0;|
0.440032,0.755763,0;2.64697,2.69335,0;2.73896,8.79001,0;3.11069,6.49325,0;4.42598,2.63711,0;6.75343,0.0446201,0;7.78577,0.587241,0;9.63873,3.32636,0;9.64805,9.95055,0;|
0.450516,0.742663,0;2.65745,2.68025,0;2.74944,8.77691,0;3.12117,6.48015,0;4.43647,2.62401,0;6.76391,0.0315207,0;7.79625,0.574142,0;9.64922,3.31326,0;9.65854,9.93745,0;|
0.461,0.729564,0;2.66793,2.66715,0;2.75993,8.76381,0;3.13166,6.46705,0;4.44695,2.61091,0;6.7744,0.0184214,0;7.80674,0.561042,0;9.6597,3.30016,0;9.66902,9.92435,0;|
0.471484,0.716465,0;2.67842,2.65405,0;2.77041,8.75071,0;3.14214,6.45395,0;4.45743,2.59781,0;6.78488,0.00532207,0;7.81722,0.547943,0;9.67018,3.28706,0;9.6795,9.91125,0;|
0.481967,0.703365,0;2.6889,2.64095,0;2.78089,8.73761,0;3.15263,6.44085,0;4.46792,2.58472,0;6.79536,9.99222,0;7.82771,0.534844,0;9.68067,3.27396,0;9.68999,9.89815,0;|
0.492451,0.690266,0;2.69939,2.62785,0;2.79138,8.72451,0;3.16311,6.42775,0;4.4784,2.57162,0;6.80585,9.97912,0;7.83819,0.521744,0;9.69115,3.26086,0;9.70047,9.88505,0;|
0.502935,0.677167,0;2.70987,2.61475,0;2.80186,8.71141,0;3.17359,6.41466,0;4.48888,2.55852,0;6.81633,9.96602,0;7.84867,0.508645,0;9.70164,3.24776,0;9.71095,9.87195,0;|
0.513419,0.664067,0;2.72035,2.60165,0;2.81235,8.69831,0;3.18408,6.40156,0;4.49937,2.54542,0;6.82682,9.95292,0;7.85916,0.495546,0;9.71212,3.23466,0;9.72144,9.85886,0;|
0.523903,0.650968,0;2.73084,2.58855,0;2.82283,8.68521,0;3.19456,6.38846,0;4.50985,2.53232,0;6.8373,9.93982,0;7.86964,0.482446,0;9.7226,3.22156,0;9.73192,9.84576,0;|
0.534387,0.637869,0;2.74132,2.57545,0;2.83331,8.67211,0;3.20505,6.37536,0;4.52034,2.51922,0;6.84778,9.92672,0;7.88012,0.469347,0;9.73309,3.20846,0;9.7424,9.83266,0;|
0.544871,0.624769,0;2.75181,2.56235,0;2.8438,8.65901,0;3.21553,6.36226,0;4.53082,2.50612,0;6.85827,9.91362,0;7.89061,0.456248,0;9.74357,3.19536,0;9.75289,9.81956,0;|
0.555354,0.61167,0;2.76229,2.54925,0;2.85428,8.64592,0;3.22601,6.34916,0;4.5413,2.49302,0;6.86875,9.90053,0;7.90109,0.443148,0;9.75405,3.18226,0;9.76337,9.80646,0;|
